"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000020402",2961.99267868155,1.89537996946813,0.157901375609552,6.92905085819023e-36,7.77716668323272e-32,"Vdac1"
"ENSMUSG00000031808",580.491831157169,1.10668182054514,0.240586845852066,2.68652631869911e-09,1.88459821256743e-06,"Slc27a1"
"ENSMUSG00000005583",232.879792886014,8.28181635126515,2.31708144965539,1.2637074615875e-07,3.83347366185354e-05,"Mef2c"
"ENSMUSG00000036905",288.932119424042,2.23367576642117,0.745792310582634,1.49066744161392e-07,4.29006445248069e-05,"C1qb"
"ENSMUSG00000036896",197.897656102824,1.46612647004362,1.03787702316049,6.48766158502431e-06,0.000822341349497574,"C1qc"
