"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000037610",49.5750904791342,-2.38702504872675,1.18075675648511,5.16438940137922e-05,0.000477420378620864,"Kcnmb2"
"ENSMUSG00000038560",18.07621027672,-4.27023598152726,2.02435580169192,5.34846806187806e-05,0.000491177446078186,"Sp6"
"ENSMUSG00000067916",75.8452773920517,-1.54814762802283,0.648428176830561,5.39584675878689e-05,0.000494441791262961,"Gm13139"
"ENSMUSG00000019936",35.7994597541541,-2.16471559219253,1.05874098975105,5.40174194996634e-05,0.000494710766858835,"Epyc"
"ENSMUSG00000027380",11.6715216163684,-5.83389452586809,2.85190666249931,5.5020936021343e-05,0.000503074357035408,"Acoxl"
"ENSMUSG00000028020",497.407732732502,-1.03614189423123,0.352085839321909,5.57538091905162e-05,0.000508516552032728,"Glrb"
"ENSMUSG00000028873",547.067028261745,-1.38718660422786,0.549331552589058,5.67556328638486e-05,0.000516392840330085,"Cdca8"
"ENSMUSG00000066438",23.6420106239584,-2.58873667746083,1.31543849981211,5.76677205466503e-05,0.000524120870699681,"Plekhd1"
"ENSMUSG00000032017",116.367047593493,-1.36023749565152,0.538196094482724,6.09983907850782e-05,0.00055020350975812,"Grik4"
"ENSMUSG00000024672",108.452034412627,-2.84713180604158,1.46426037146007,6.15979369328653e-05,0.000554713317831848,"Ms4a7"
"ENSMUSG00000025488",77.4759035149184,-1.53983619138766,0.656899236224419,6.17112700748046e-05,0.000554907431265243,"Cox8b"
"ENSMUSG00000032503",661.990780440001,-1.14516537579193,0.413890205962319,6.21527842824032e-05,0.000557906356872227,"Arpp21"
"ENSMUSG00000024526",16.4143632155602,-5.12254971680558,2.51278106625304,6.23315550213233e-05,0.000559210741076971,"Cidea"
"ENSMUSG00000073791",76.9124882535629,-1.18488086994711,0.436931675497493,6.33949097342727e-05,0.000567228330459654,"Efcab7"
"ENSMUSG00000021367",80.756446257742,-1.25564060730259,0.481032236972664,6.68846303375914e-05,0.000594316699342107,"Edn1"
"ENSMUSG00000025270",220.082324375279,-1.27412881617767,0.493965213981869,6.87586452165341e-05,0.000608703387790864,"Alas2"
"ENSMUSG00000046731",312.487272749645,-1.05481658799925,0.370550618129025,6.96709543159576e-05,0.000615475861753127,"Kctd11"
