"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000002289",4940.31468827738,1.80100267220497,0.115821954459289,9.94775535864467e-57,3.32533566128774e-53,"Angptl4"
"ENSMUSG00000026077",668.523546604036,2.90606979303741,0.21235386805753,1.60666317792977e-45,3.83625262227403e-42,"Npas2"
"ENSMUSG00000073557",5950.88742593652,1.36288722228252,0.102018917194497,7.42443123893938e-43,1.37879937475148e-39,"Ppp1r12b"
"ENSMUSG00000039959",3077.07006355248,1.56637412357566,0.119515577996579,1.935352022509e-41,2.69562280868463e-38,"Hip1"
"ENSMUSG00000020788",9564.66006236822,1.41017629565266,0.110468875192427,1.7182648960018e-39,2.20915995936724e-36,"Atp2a3"
"ENSMUSG00000024049",1636.56453983726,1.38948417164773,0.109530804033305,4.85391113443385e-39,5.79487647863767e-36,"Myom1"
"ENSMUSG00000041828",9382.08174623827,1.10794123499766,0.0943958596547392,1.12204642476724e-33,9.87046523345241e-31,"Abca8a"
"ENSMUSG00000037820",12447.8599690841,1.24275248675666,0.108523532891234,2.04655680084514e-32,1.62886430330122e-29,"Tgm2"
"ENSMUSG00000006342",3553.28402913341,1.25266727284292,0.110796313971045,1.05699032649209e-31,8.03024378044948e-29,"Susd2"
"ENSMUSG00000068747",3215.27866007509,1.26967992782473,0.113832285641781,5.67303194767141e-31,3.7927622389352e-28,"Sort1"
"ENSMUSG00000027993",2610.72236912802,1.23340261426455,0.110695562166471,7.07090168414468e-31,4.5455019518767e-28,"Trim2"
"ENSMUSG00000066113",3837.82458942231,1.15364114815007,0.103743613516908,1.15563820982312e-30,7.15382853295688e-28,"Adamtsl1"
"ENSMUSG00000024900",3465.52714197727,1.3601014945701,0.123312101815253,1.92649546057294e-30,1.14998018314343e-27,"Cpt1a"
"ENSMUSG00000052296",3041.59869308284,1.9103908671484,0.177509210237297,2.43706540044382e-29,1.27290972196931e-26,"Ppp6r1"
"ENSMUSG00000053469",228.210656460534,3.78480044154317,0.353258132083568,4.57878777782371e-28,2.06837456536609e-25,"Tg"
"ENSMUSG00000050315",3530.4551560874,1.09111366862859,0.106276817588995,1.44461217809034e-26,5.8212971885262e-24,"Synpo2"
"ENSMUSG00000083405",898.061442373926,1.91950918723107,0.189602593965491,1.93840404503466e-26,7.53453144388588e-24,"Gm15725"
"ENSMUSG00000005611",4398.38086845358,1.41674641798499,0.143327299674127,3.14291581734971e-25,1.09438947856631e-22,"Mrvi1"
