V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
GO:0010869,GO:2000181,GO:0036314,GO:0043516,GO:0045686,GO:0086069,GO:0060371,GO:2000145,GO:0019083,GO:0019731,NA
GO:0051782,GO:0050680,GO:0061640,GO:0045429,GO:0032026,GO:0019934,GO:0007600,GO:0010975,GO:1903707,GO:0016575,NA
GO:0044772,GO:0051240,GO:0090174,GO:1904407,GO:1903960,GO:1903170,GO:0002181,GO:0010628,GO:0048538,GO:0051147,NA
GO:0007052,GO:0034394,GO:1903305,GO:0006897,GO:0060192,GO:0070544,GO:0032526,GO:1903321,GO:0045471,NA,NA
GO:0048641,GO:0032438,GO:0042572,GO:0061640,GO:0045416,GO:1902170,GO:0044267,GO:0044267,GO:0014902,NA,NA
GO:0034501,GO:0030032,GO:1902285,GO:2000677,GO:0050702,GO:0002934,GO:0086015,GO:0034645,GO:0061035,NA,NA
GO:0046883,GO:0032330,GO:0046653,GO:0055067,GO:0071636,GO:0043116,GO:1905208,GO:0045778,GO:1904591,NA,NA
GO:2000738,GO:0061640,GO:1900024,GO:0046605,GO:0060267,GO:0043242,GO:0001672,GO:1903532,GO:0120036,NA,NA
GO:0090190,GO:0006182,GO:0001569,GO:0010647,GO:0046600,GO:0071493,GO:0055026,GO:0030182,GO:0007420,NA,NA
GO:0045662,GO:0046058,GO:0090505,GO:0048522,GO:0046173,GO:0030330,GO:0060019,GO:0042255,GO:1903426,NA,NA
GO:0030198,GO:0045598,GO:0000132,GO:0070374,GO:0034127,GO:0071158,GO:0030318,GO:0001501,GO:0000086,NA,NA
GO:0022617,GO:0097581,GO:1900182,GO:0030199,GO:0002604,GO:0031936,GO:0060972,GO:0010770,GO:0038179,NA,NA
GO:0060341,GO:0009187,GO:2000147,GO:0086001,GO:0090150,GO:0042759,GO:2000726,GO:1902373,GO:1901798,NA,NA
GO:0045840,GO:0042770,GO:0007076,GO:0030865,GO:0032700,GO:0070296,GO:0045859,GO:0033690,GO:0061036,NA,NA
GO:0034724,GO:0010634,GO:0071822,GO:0097659,GO:1900017,GO:0090257,GO:0086026,GO:0071635,GO:0044839,NA,NA
GO:0042423,GO:0009165,GO:0008645,GO:0061448,GO:0006020,GO:1903201,GO:0046189,GO:0032909,GO:0051146,NA,NA
GO:0048762,GO:0001936,GO:0050921,GO:1903428,GO:0050867,GO:0050974,GO:0072216,GO:1902253,GO:0060402,NA,NA
GO:0033198,GO:0046068,GO:0071173,GO:0051056,GO:1900048,GO:0090129,GO:1902099,GO:0060253,GO:0060079,NA,NA
GO:0048565,GO:0048146,GO:0007094,GO:0032874,GO:0043652,GO:1900273,GO:0045911,GO:0060134,GO:2000463,NA,NA
GO:1902850,GO:0001934,GO:0071174,GO:0045428,GO:0050820,GO:0009214,GO:0051382,GO:0003223,GO:1903051,NA,NA
GO:0032388,GO:0030198,GO:0033993,GO:1901379,GO:0051918,GO:0007417,GO:1900120,GO:1900165,GO:0000028,NA,NA
