"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000050578",5734.21740685092,2.86074551909344,0.164833224581373,1.3216395318692e-68,9.87925550072227e-65,"Mmp13"
"ENSMUSG00000049892",14551.1184894214,1.6815488145696,0.115713607166548,2.97903660150787e-50,1.48455323975142e-46,"Rasd1"
"ENSMUSG00000047562",218.734246196307,6.20682153169027,0.440428059715931,6.65552217331019e-46,1.99000112981975e-42,"Mmp10"
"ENSMUSG00000073125",448.1854670245,3.37458305752259,0.302348748707492,1.43579865244878e-30,2.38502109490102e-27,"Xlr3b"
"ENSMUSG00000032291",562.655478437241,2.13296540477471,0.226157318190745,4.40913345158484e-22,3.87744382948197e-19,"Crabp1"
"ENSMUSG00000045573",610.975805436946,1.86349253117799,0.207479309437439,4.23063917354797e-21,3.1624027822271e-18,"Penk"
"ENSMUSG00000009185",325.710171503493,2.57979828060474,0.308361801641984,6.39052389842254e-18,3.29442525108334e-15,"Ccl8"
"ENSMUSG00000043613",1552.8756773409,1.83590222405017,0.229450283452055,8.32860108999944e-18,4.15041954318305e-15,"Mmp3"
"ENSMUSG00000031613",483.367434086307,1.47694382468998,0.23074960410784,4.70285959649756e-15,1.75769377419096e-12,"Hpgd"
"ENSMUSG00000025510",1194.79049441894,1.65304951336062,0.26055053413686,5.52399644818821e-14,1.75710099788114e-11,"Cd151"
"ENSMUSG00000029304",3955.21532626495,1.00028583398305,0.165485959593861,2.60591476716303e-12,6.60312301170971e-10,"Spp1"
"ENSMUSG00000020218",5800.36833888044,1.05369268875129,0.184671255031417,6.64096800913859e-12,1.5042798747973e-09,"Wif1"
"ENSMUSG00000024987",387.98462453309,2.2559004048163,0.35836196507543,1.08006763550872e-11,2.30671587869363e-09,"Cyp26a1"
"ENSMUSG00000051159",128.539898790745,1.95192300591592,0.333911692792096,2.07560329215853e-11,4.25072181065343e-09,"Cited1"
"ENSMUSG00000026697",1990.99734185652,1.15089745409064,0.220981053578904,2.29710781853694e-11,4.64077863339557e-09,"Myoc"
"ENSMUSG00000004945",622.017947920265,1.0344347639167,0.191296779777351,5.27630844120789e-11,9.73837175259974e-09,"Tmem242"
"ENSMUSG00000020583",713.389684368952,1.00898972460657,0.192274345648441,2.0253349588722e-10,3.40210759945386e-08,"Matn3"
"ENSMUSG00000004371",72.7965418968131,2.6656351374641,0.490482729152739,1.65175322614562e-09,2.22465862440334e-07,"Il11"
"ENSMUSG00000086605",51.0946636377568,4.16319268208439,0.813900085825616,3.31846659377142e-09,4.20432843871888e-07,"Gm14290"
"ENSMUSG00000001020",1393.1609557767,1.00007882286709,0.235562935337208,2.84155649477094e-08,3.05620644581478e-06,"S100a4"
"ENSMUSG00000041193",269.13390777328,1.23881423009143,0.335840199597527,3.15894524489185e-08,3.34937811426476e-06,"Pla2g5"
"ENSMUSG00000025185",733.216884178819,1.13654738766026,0.301305887492182,4.23411496942721e-08,4.30612372741067e-06,"Loxl4"
"ENSMUSG00000039323",207.676770798889,1.97069704337594,0.485417601483137,4.52212051108962e-08,4.56795281356688e-06,"Igfbp2"
"ENSMUSG00000024803",237.532956638485,2.19246762463529,0.516501752492349,5.27299668359721e-08,5.25542002798522e-06,"Ankrd1"
"ENSMUSG00000026725",104.698413388869,2.67326112689104,0.630045770607224,1.19888675294479e-07,1.07972029858582e-05,"Tnn"
"ENSMUSG00000059237",98.0304466981273,4.20003974689498,1.01681687534905,1.51515551892024e-07,1.33244558869751e-05,"Ppp1r2-ps4"
"ENSMUSG00000100622",163.962834370197,6.43432070738822,1.71408381165533,4.39056620309532e-07,3.34892677225893e-05,"RP24-447G12.2"
"ENSMUSG00000052276",25.3276200368431,3.62238311859137,1.05547476683483,8.08020024686371e-07,5.83570017829046e-05,"Ostn"
"ENSMUSG00000049134",181.62875080953,1.00673407296896,0.324753390266489,1.76479053643439e-06,0.000113722493619372,"Nrap"
"ENSMUSG00000046808",292.553014466275,1.06793174578355,0.367469838427102,2.01012727101051e-06,0.000126799167517329,"Atp10d"
"ENSMUSG00000017491",318.648451658901,1.14733410233914,0.419205585106038,2.26021236826146e-06,0.00014079239543962,"Rarb"
"ENSMUSG00000020220",335.233540784099,1.0679667705052,0.398622713488607,4.04540517713952e-06,0.000231719568575616,"Vps13d"
