"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000020889",6479.53988301675,-3.01182725923577,0.100231371451292,6.77295648272907e-201,1.15485680987013e-196,"Nr1d1"
"ENSMUSG00000058914",32673.2934059957,-2.26406917055215,0.131057763711042,5.59467181616426e-70,3.17982497124723e-66,"C1qtnf3"
"ENSMUSG00000022425",5268.38656041605,-1.46339017552431,0.0905247169734308,9.2777948371292e-61,3.95489199419725e-57,"Enpp2"
"ENSMUSG00000032291",562.655478437241,-3.37312966461271,0.223437090381459,3.92793046563821e-53,1.33950284739194e-49,"Crabp1"
"ENSMUSG00000003038",11799.7656868698,-1.30468286259339,0.0869003148864345,7.30426750649777e-53,2.07575108755489e-49,"Hmgn2"
"ENSMUSG00000030074",1571.16634675354,-2.07636412755413,0.139759381434345,9.84650032368659e-53,2.39846681455972e-49,"Gxylt2"
"ENSMUSG00000047281",523.461621640995,-7.39358862149029,0.491407051632714,6.44150062569738e-52,1.37292533960958e-48,"Sfn"
"ENSMUSG00000034648",2919.66995527084,-1.47697894712949,0.10573566813767,2.43282854257561e-46,4.60912883105075e-43,"Lrrn1"
"ENSMUSG00000059824",757.933038595711,-4.23071311943253,0.312858806662299,3.8768357343102e-42,6.61039261057232e-39,"Dbp"
"ENSMUSG00000039883",3984.35407080925,-2.05377435168291,0.15743593283406,1.15150858819223e-41,1.78494299429688e-38,"Lrrc17"
"ENSMUSG00000027996",764.026207712163,-3.84306730980542,0.294044640730504,7.45710742768627e-40,1.05959282291232e-36,"Sfrp2"
"ENSMUSG00000037318",726.056041164016,-2.36002804581232,0.187924826539195,2.26955857647939e-39,2.97678794519616e-36,"Traf3ip3"
"ENSMUSG00000035385",1693.93681942278,-1.74459917706538,0.142688395747964,1.170273649064e-36,1.42530971358502e-33,"Ccl2"
"ENSMUSG00000023169",668.559105321834,-2.34494019274077,0.20687484996405,5.89577314647758e-33,6.70192186137262e-30,"Slc38a1"
"ENSMUSG00000035373",718.619317464947,-2.07488341248043,0.182049140522189,6.6875738958223e-33,6.70763661750977e-30,"Ccl7"
"ENSMUSG00000020592",4166.58671819273,-1.36826502881815,0.11925607858107,1.96329456133355e-32,1.82663321818499e-29,"Sdc1"
"ENSMUSG00000018819",3148.81762720805,-1.23282010637029,0.108529747741566,8.22257521136757e-32,6.67633952042993e-29,"Lsp1"
"ENSMUSG00000032013",165.960241430671,-3.85438593801479,0.333433498120589,9.16052906596183e-32,7.09982641380523e-29,"Trim29"
"ENSMUSG00000024538",7757.09698116101,-1.34701617222001,0.120807456476447,7.92139057647505e-31,5.194908873826e-28,"Ppic"
"ENSMUSG00000060572",3449.55607676344,-1.39670991524025,0.126572809047277,2.71982278995566e-30,1.7176184589457e-27,"Mfap2"
"ENSMUSG00000030659",1603.82678943348,-1.29654332900251,0.117553183634414,3.18903949816304e-30,1.89119151283138e-27,"Nucb2"
"ENSMUSG00000027107",5443.63791287521,-1.49619719987376,0.136754113359187,6.69501374893487e-30,3.80522264776962e-27,"Chrna1"
"ENSMUSG00000025930",5489.67185786412,-1.61958501344107,0.150833780701495,4.78750082162786e-29,2.40093166204637e-26,"Msc"
"ENSMUSG00000034161",2359.38292784879,-1.87533383199782,0.176089308756129,5.67576056327805e-29,2.76506838184154e-26,"Scx"
"ENSMUSG00000039748",140.410600431449,-6.3160295559017,0.579132517799379,3.11942947911322e-28,1.47748311245443e-25,"Exo1"
"ENSMUSG00000055937",162.959265870229,-6.36438571118861,0.588231229435393,7.87480419706325e-28,3.62900773957096e-25,"Krt28"
"ENSMUSG00000036777",1028.37856117593,-2.05896512803962,0.20343943716866,7.28501754163585e-27,3.18504702826751e-24,"Anln"
"ENSMUSG00000094777",1687.17165737223,-2.9003439162247,0.286883684522508,7.17551213606396e-27,3.18504702826751e-24,"Hist1h2ap"
"ENSMUSG00000024922",128.70037065759,-5.61607376038611,0.528955813383742,9.31324039857871e-27,3.97000155090414e-24,"Ovol1"
"ENSMUSG00000026278",1411.21572345265,-1.26899246915669,0.125014576024086,3.82617802773289e-26,1.59122345246033e-23,"Bok"
"ENSMUSG00000035199",4569.24470116007,-1.28962944854665,0.129316930611311,2.27950891979757e-25,8.83361513442462e-23,"Arl6ip5"
"ENSMUSG00000001403",1245.0829640573,-2.3599710565838,0.244423460145666,3.18440570025495e-25,1.20660670211216e-22,"Ube2c"
"ENSMUSG00000037443",1491.12151790443,-1.79492744355443,0.183103387765193,4.56137660047083e-25,1.69078331336148e-22,"Cep85"
"ENSMUSG00000020218",5800.36833888044,-1.68172051610877,0.173398163176178,1.77332403468528e-24,6.04738962308373e-22,"Wif1"
"ENSMUSG00000054675",2167.90085374758,-1.50821041275894,0.156772359860648,5.56445665421724e-24,1.75702871131589e-21,"Tmem119"
"ENSMUSG00000027239",1389.02609216038,-1.74340365217443,0.182469253764399,6.01095645152021e-24,1.86350579008857e-21,"Mdk"
"ENSMUSG00000021994",330.96841168563,-3.19677582999138,0.334011462016018,6.30347445554668e-24,1.88562356037766e-21,"Wnt5a"
"ENSMUSG00000032218",832.285752621955,-2.0126222458399,0.213674677196553,8.69830868373705e-24,2.55715278217932e-21,"Ccnb2"
"ENSMUSG00000017716",729.331910295959,-2.49924067535801,0.269250236757658,1.0108136522343e-23,2.92125145495712e-21,"Birc5"
