"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000002289",5107.07356896384,1.74051239716926,0.0986666324992347,6.81733266860217e-72,5.81211696661678e-68,"Angptl4"
"ENSMUSG00000027993",2617.98173958289,1.23297823347141,0.1064740795899,6.43087702822589e-33,6.70763661750977e-30,"Trim2"
"ENSMUSG00000041828",9034.21337962672,1.09927607704809,0.0956147588532321,2.03542496894697e-32,1.82663321818499e-29,"Abca8a"
"ENSMUSG00000024900",3467.36451776875,1.35251165106401,0.119052293155648,7.27024096794433e-32,6.19824393722094e-29,"Cpt1a"
"ENSMUSG00000068747",3242.80954974469,1.32823009817846,0.118081349659236,2.66387334254719e-31,1.97485671146835e-28,"Sort1"
"ENSMUSG00000026077",670.574799494228,3.00739954580846,0.271255404008133,3.51542055672224e-31,2.49755982969462e-28,"Npas2"
"ENSMUSG00000053469",238.482952260848,3.82083783432926,0.335205044813627,5.24843628221144e-31,3.57964348191949e-28,"Tg"
"ENSMUSG00000006342",3620.90882104563,1.26400564889552,0.114583842883102,3.2165007255944e-30,1.89119151283138e-27,"Susd2"
"ENSMUSG00000052296",3015.9058996813,1.91441532959908,0.177094792229722,8.72976270072652e-30,4.80165109064799e-27,"Ppp6r1"
"ENSMUSG00000066113",3786.07377049141,1.13995935322027,0.104971657133622,2.46928011856523e-29,1.27586955459563e-26,"Adamtsl1"
"ENSMUSG00000025092",3406.20427375103,1.27201516553096,0.126065412289279,7.07770424176457e-26,2.80655662851925e-23,"Hspa12a"
"ENSMUSG00000037820",12647.803234658,1.25877460578328,0.127944932248722,8.97698276791033e-25,3.18888610782581e-22,"Tgm2"
"ENSMUSG00000025324",2212.26743829208,1.25380543011615,0.127805049023777,1.19201408461823e-24,4.14796574629091e-22,"Atp10a"
"ENSMUSG00000017631",4395.77685260054,1.19120513978363,0.122849359820953,3.932819648758e-24,1.28958668905717e-21,"Abr"
"ENSMUSG00000037138",2131.05009856966,1.20176210487284,0.124342317844419,5.2761612268694e-24,1.69743066187453e-21,"Aff3"
"ENSMUSG00000016128",2769.37244348983,1.19897146061714,0.124271339900734,6.24517665350573e-24,1.88562356037766e-21,"Stard13"
"ENSMUSG00000083405",877.913183769037,1.87592258037053,0.199424170180507,1.6004470033899e-23,4.47364292701658e-21,"Gm15725"
"ENSMUSG00000024049",1663.89483219688,1.42229742858739,0.151227153731936,4.98416701106903e-23,1.37072631783448e-20,"Myom1"
"ENSMUSG00000040152",61861.9330682159,1.29589886578751,0.13810473889358,7.07641208615383e-23,1.9152365473176e-20,"Thbs1"
"ENSMUSG00000020357",1297.24735903197,1.58470389008874,0.171462849858185,1.73265500678444e-22,4.47628795767901e-20,"Flt4"
"ENSMUSG00000003660",3246.6152118582,1.26916406657734,0.138394909279288,5.3323358259822e-22,1.3177051908525e-19,"Snrnp200"
"ENSMUSG00000033792",2151.21418696294,1.04043433298421,0.113145177669457,6.46999411535797e-22,1.51123109124615e-19,"Atp7a"
"ENSMUSG00000021823",11341.1218638793,1.06529334044415,0.116032070103624,6.88107660853814e-22,1.58553023313762e-19,"Vcl"
"ENSMUSG00000038170",2369.13901180322,1.10414204705,0.122677705457834,3.28626276877484e-21,7.09291980637718e-19,"Pde4dip"
"ENSMUSG00000090035",773.075695010411,1.70824398592096,0.192827765319454,4.18494708015687e-21,8.91969158296935e-19,"Galnt4"
"ENSMUSG00000049516",20650.6626703013,1.04785134407463,0.117701814900503,9.25329858855899e-21,1.92412188089658e-18,"Spty2d1"
"ENSMUSG00000029313",1887.19798717409,1.52924633248424,0.174059088896502,1.21526939102225e-20,2.49657329955667e-18,"Aff1"
"ENSMUSG00000005611",4399.95868821604,1.44330596447069,0.165260037304926,2.22182564520809e-20,4.30503966777762e-18,"Mrvi1"
"ENSMUSG00000040433",2938.988000024,1.03965900614409,0.118755254790161,3.56434617896388e-20,6.60605072799056e-18,"Zbtb38"
"ENSMUSG00000039959",3120.67813069594,1.59303617181465,0.18595035815462,7.20649406044848e-20,1.26678278582172e-17,"Hip1"
"ENSMUSG00000039523",2231.56992308471,1.04298227391421,0.120889387291298,1.07974139923067e-19,1.78744374740603e-17,"Cep104"
"ENSMUSG00000020788",9677.56669134428,1.43824095920089,0.168874414718241,1.47173532246418e-19,2.38995799841302e-17,"Atp2a3"
"ENSMUSG00000040648",955.435908204886,1.1768819542154,0.140377018622751,6.45903036693197e-19,9.92188529608622e-17,"Ppip5k2"
"ENSMUSG00000034354",3021.95792877212,1.20106594348087,0.143558971921576,7.19992960452663e-19,1.09612499720342e-16,"Mtmr3"
"ENSMUSG00000073557",6016.01890434742,1.39343362249183,0.167890081125691,9.83670390165372e-19,1.47127752830787e-16,"Ppp1r12b"
"ENSMUSG00000004508",884.122976860336,1.47695509768191,0.178390501442247,1.02980799574116e-18,1.51372897718814e-16,"Gab2"
"ENSMUSG00000037709",635.838515623015,1.7750246384781,0.216651500841033,1.04366992574256e-18,1.5209928122937e-16,"Fam13a"
"ENSMUSG00000034731",635.698615956247,1.51172549773092,0.187094814013512,5.00264434085945e-18,6.71654241385783e-16,"Dgkh"
"ENSMUSG00000022324",6723.75703727402,1.12790438154367,0.139411731662395,8.18594295755783e-18,1.04946250653623e-15,"Matn2"
"ENSMUSG00000018604",2112.57913313923,1.70920222377873,0.214868795042502,8.75810788639845e-18,1.11443654903716e-15,"Tbx3"
"ENSMUSG00000019907",1699.9520770345,1.77125731953814,0.227734608368924,2.97217066317992e-17,3.56890718154091e-15,"Ppp1r12a"
"ENSMUSG00000058230",1294.75632978653,1.11480164131022,0.140717702734215,3.30309101414455e-17,3.93853180994257e-15,"Arhgap35"
"ENSMUSG00000022801",1915.23071490118,1.11758616983092,0.141228933103128,3.52683842490058e-17,4.14731875744689e-15,"Lrch3"
"ENSMUSG00000051339",1156.61176989848,1.61134708718866,0.206972331398294,4.28086833627683e-17,4.96551605454805e-15,"2900026A02Rik"
"ENSMUSG00000027875",2296.21522535502,1.38151494225073,0.177976054941407,7.73078530126586e-17,8.78784134479227e-15,"Hmgcs2"
"ENSMUSG00000073700",17921.989114824,1.152313391698,0.147930696650113,8.77270960032697e-17,9.90619015862087e-15,"Klhl21"
"ENSMUSG00000054641",5277.36922035702,1.29207865787741,0.167287529804905,1.17945022353643e-16,1.30589647802076e-14,"Mmrn1"
"ENSMUSG00000033306",5237.27655696892,1.05289421290511,0.137440039700834,3.09471119123816e-16,3.23729573753385e-14,"Lpp"
"ENSMUSG00000019820",818.570135341315,2.18719851104104,0.299904404606547,3.23052000997809e-16,3.35875589574003e-14,"Utrn"
"ENSMUSG00000043940",2323.60372352285,1.58178814411938,0.210595261174591,3.76800087633762e-16,3.87037246641161e-14,"Wdfy3"
"ENSMUSG00000029174",3495.38543523461,1.14290923938023,0.150888418495531,4.77871004347626e-16,4.85010624710201e-14,"Tbc1d1"
"ENSMUSG00000019966",2580.5941739881,1.08034452409171,0.142273670640322,4.81050131310244e-16,4.85348271536744e-14,"Kitl"
"ENSMUSG00000030084",1480.24449204213,1.15706202484186,0.153054162834057,5.19677924308071e-16,5.21236958080995e-14,"Plxna1"
"ENSMUSG00000071856",428.783959514428,1.4869930101783,0.198723242365767,5.61101048312041e-16,5.56240347370268e-14,"Mcc"
"ENSMUSG00000024978",401.732160869911,2.7685978597753,0.385436409866138,6.52375994300457e-16,6.42986305133936e-14,"Gpam"
"ENSMUSG00000058325",2613.66242911145,1.0538861215207,0.140511028428094,1.06245546749589e-15,1.02931410092457e-13,"Dock1"
"ENSMUSG00000032289",2672.41813251227,1.53580557214923,0.209770400153208,1.70378899407505e-15,1.59622561197657e-13,"Thsd4"
"ENSMUSG00000029708",6334.85265920225,1.31082673901857,0.178527954468762,2.0921062566269e-15,1.8676703550652e-13,"Gcc1"
"ENSMUSG00000030306",371.237704072683,2.00457114703597,0.282966807546649,2.55033409469914e-15,2.22490823789295e-13,"Tmtc1"
"ENSMUSG00000050315",3556.24261262917,1.11584079601299,0.156107515300192,1.23717943146427e-14,9.76627152124874e-13,"Synpo2"
"ENSMUSG00000042607",953.638754845749,1.38033087815725,0.194964179898904,1.27779579577801e-14,1.00404129556732e-12,"Asb4"
"ENSMUSG00000032198",640.716953294438,1.92982166314498,0.280481980001582,1.36369337813967e-14,1.06175049272418e-12,"Dock6"
"ENSMUSG00000021375",1958.60416462133,1.18184497996982,0.166459101817025,1.51669325122833e-14,1.16491606426551e-12,"Kif13a"
"ENSMUSG00000022893",75386.1406119077,1.02666503113403,0.144405570364271,2.13174724194245e-14,1.60833726647614e-12,"Adamts1"
"ENSMUSG00000037486",1052.46634549418,1.02612528804515,0.145776687657886,3.5543548159665e-14,2.6236062323396e-12,"Asxl2"
"ENSMUSG00000023977",1300.49833799283,1.0547064449912,0.151611112019178,5.81109009087477e-14,4.14581159579522e-12,"Ubr2"
"ENSMUSG00000078937",531.905447608803,2.64327121998028,0.405770832574245,5.78679844996248e-14,4.14581159579522e-12,"Cpt1b"
"ENSMUSG00000027716",2821.64470211477,1.13254113056957,0.163537849880317,5.85518335406853e-14,4.15986380709261e-12,"Trpc3"
"ENSMUSG00000054203",1000.99264825769,2.10196456378,0.320292734699358,7.04127919072823e-14,4.94077578111552e-12,"Ifi205"
"ENSMUSG00000048232",1061.18659908189,1.03013380940303,0.149746112420029,1.09059475182776e-13,7.49827867476414e-12,"Fbxo10"
"ENSMUSG00000019731",2949.39522643744,1.01076282957125,0.147972963209511,1.64375632707346e-13,1.10345232806809e-11,"Slc35e1"
"ENSMUSG00000042046",1463.25528877068,1.16949682275098,0.172947357099049,1.67981202566362e-13,1.11884667381212e-11,"Dstyk"
"ENSMUSG00000007817",1808.90170851459,1.46909009862942,0.220772916678259,2.09635548793489e-13,1.38546346607666e-11,"Zmiz1"
"ENSMUSG00000025241",2832.27117290527,1.25460639699232,0.188537860190611,2.98373028937355e-13,1.94181622763773e-11,"Fyco1"
"ENSMUSG00000033396",647.499505823102,1.40737908169826,0.213404726430928,3.46688516710749e-13,2.22232552572744e-11,"Spg11"
"ENSMUSG00000033453",1133.74545631399,1.33594417481341,0.202343032394517,3.70367124154437e-13,2.35639172908855e-11,"Adamts15"
"ENSMUSG00000042129",214.515479191369,2.33938292747592,0.375738203932749,3.90299950626812e-13,2.47397935246757e-11,"Rassf4"
"ENSMUSG00000032548",1431.97712738387,1.6643651415885,0.25903323528558,6.19795409974192e-13,3.82903316502534e-11,"Slco2a1"
"ENSMUSG00000024251",238.972093662861,1.72113579416592,0.272594503160848,1.08926131918231e-12,6.5397868849921e-11,"Thada"
"ENSMUSG00000070738",2349.32409785342,1.05612419389735,0.1623862858723,1.30217929029285e-12,7.70953440235536e-11,"Dgkd"
"ENSMUSG00000026924",1274.87262635821,1.41285066339603,0.221361572104227,1.37715439504562e-12,8.06936755667452e-11,"Sec16a"
"ENSMUSG00000045573",610.975805436946,1.27639104611972,0.199519063903746,1.57534816363063e-12,9.07475051961683e-11,"Penk"
"ENSMUSG00000003435",1885.84642212831,1.72647906827336,0.276542276052738,1.67703712404866e-12,9.59569127589052e-11,"Supt5"
"ENSMUSG00000079020",1869.94106539763,1.13616375205982,0.177748692585768,2.16821764298001e-12,1.20817905328275e-10,"Slc45a4"
"ENSMUSG00000031328",70041.5829262357,1.4135406531317,0.225217575865522,2.70838134836866e-12,1.48969710874303e-10,"Flna"
"ENSMUSG00000004677",1284.69701755797,1.2399285216784,0.196270450971435,2.81677271053858e-12,1.54327104043978e-10,"Myo9b"
"ENSMUSG00000037415",880.281703892485,1.01180792729289,0.15819365624603,3.10284892055714e-12,1.6795770458546e-10,"Ranbp10"
"ENSMUSG00000039470",316.976947253811,1.4780487505886,0.23711564982675,3.15376504824832e-12,1.70173569106589e-10,"Zdhhc2"
"ENSMUSG00000039620",59.5013087094118,7.76103105028652,1.16505320729352,3.50294008028569e-12,1.87825884619344e-10,"6430573F11Rik"
"ENSMUSG00000038244",3265.40501825072,1.16153022443659,0.184637171387806,3.9270132827355e-12,2.07948768583612e-10,"Mical2"
"ENSMUSG00000005952",2160.97164376979,1.20257604566673,0.191883424644849,4.1796313040148e-12,2.20640536732992e-10,"Trpv1"
"ENSMUSG00000040506",1001.90636294848,1.02929322277855,0.163209767463503,5.20582982908621e-12,2.69801229227201e-10,"Ambra1"
"ENSMUSG00000101645",187.062969622925,16.1174210504374,2.8188554422501,5.98341706824796e-12,3.04546998300585e-10,"Gm28635"
"ENSMUSG00000024163",1616.0327352677,1.28836570970457,0.208342091175906,6.02030852076223e-12,3.04697351196792e-10,"Mapk8ip3"
"ENSMUSG00000020741",3238.62223698438,1.25967857371784,0.203754516925008,6.40407725726999e-12,3.22111862282332e-10,"Cluh"
"ENSMUSG00000034235",951.378364020013,1.12562618606171,0.181623510641593,7.77683807365314e-12,3.88864709659413e-10,"Usp54"
"ENSMUSG00000041341",712.646218742181,1.32373301282053,0.217005231838235,9.53264662494646e-12,4.71133790150615e-10,"Atg2b"
"ENSMUSG00000090958",5764.06661443096,1.20755592101456,0.196899502768179,9.66688486521183e-12,4.76387438834471e-10,"Lrrc32"
"ENSMUSG00000047419",264.414355612043,2.84565777450868,0.49632976527373,1.16673948573412e-11,5.5882233065316e-10,"Cmya5"
"ENSMUSG00000041528",2191.48050410514,1.0171257455603,0.164595576261149,1.22823945224196e-11,5.84991924585968e-10,"Rnf123"
"ENSMUSG00000079243",3832.81128984047,1.27888469708482,0.210896935096282,1.28992818155426e-11,6.10960150657826e-10,"Xirp1"
"ENSMUSG00000003226",5583.8007636838,1.05064391740122,0.17090762486024,1.33505851540854e-11,6.26621465640292e-10,"Ranbp2"
"ENSMUSG00000041741",5618.20821289602,1.01394758317087,0.165386149119222,1.69174230568913e-11,7.7128069663918e-10,"Pde3a"
"ENSMUSG00000051910",364.373957011567,1.42353509253757,0.238770208702021,1.84834893501775e-11,8.3376184367692e-10,"Sox6"
"ENSMUSG00000041797",1831.80656888045,1.02808139878708,0.168458906380159,1.91261748960059e-11,8.60476010954607e-10,"Abca9"
"ENSMUSG00000020196",1520.33588623921,1.01108342705442,0.166249189941848,2.32665725084635e-11,1.03312064542139e-09,"Cabin1"
"ENSMUSG00000015750",521.213451460895,1.05979706513813,0.175319187335726,2.4586413500052e-11,1.08047148605512e-09,"Aph1a"
"ENSMUSG00000031273",218.339316117005,1.57731993984442,0.270555765796321,2.95170590589222e-11,1.28064980665059e-09,"Col4a6"
