V1,V1,V10,V10,V11,V11,V2,V2,V3,V3,V4,V4,V5,V5,V6,V6,V7,V7,V8,V8,V9,V9
GO:0016925,4.04819333112683e-05,GO:0034341,0.00378442261491546,GO:0038128,0.00411231401285341,GO:0030199,2.60647063457717e-05,GO:0050918,1.96531590836268e-05,GO:0046323,3.70588237799862e-05,GO:0042535,0.000244944636405723,GO:0042340,0.000611685985907267,GO:0006614,0.000999380806028057,GO:0010466,6.21206971028429e-06,GO:0048666,0.00658304951837142
GO:0008284,4.5078237754677e-05,GO:0042742,0.00408204881770737,GO:1901185,0.00498022627068463,GO:0060429,6.79563626038991e-05,GO:0050667,7.56806266401174e-05,GO:0008645,0.000237400083219551,GO:0042534,0.00047836212312948,GO:0045597,0.00308738094687045,GO:0060231,0.00106362128603471,GO:0052548,9.81161968890805e-06,GO:0051216,0.00661886158415689
GO:0010634,6.54296567881139e-05,GO:0006614,0.00639329793722396,GO:0016266,0.0110858414973223,GO:2000369,9.09266710134981e-05,GO:0030198,9.48859336989569e-05,GO:0035428,0.000403836641034055,GO:0002696,0.0010336760126706,GO:0018146,0.00363739190165202,GO:0006613,0.0011772043286324,GO:2000059,1.15090199815309e-05,GO:0010466,0.0117711818657454
GO:0018205,0.000101080896643519,GO:0006613,0.0069611911839573,GO:0038127,0.0164548527073311,GO:0008544,0.000127327728797107,GO:0000070,0.000159158040848245,GO:0007010,0.000450813664712627,GO:0043032,0.00116924178290192,GO:0042339,0.00497630526265689,GO:0045047,0.00137610513481084,GO:0051444,1.98282246395447e-05,GO:0050680,0.0132627180098676
GO:0006027,0.000171459776719421,GO:0045047,0.00755121207754956,GO:0042167,0.0170268574512904,GO:0071822,0.00015184156969619,GO:0051383,0.000193930964852916,GO:0015758,0.000630956270455313,GO:0045671,0.0013128624367882,GO:0044273,0.00526741682102992,GO:0051383,0.00154994048722966,GO:0010951,2.60145299761775e-05,GO:0052548,0.0140377695733921
GO:0042981,0.000222028661822942,GO:0019080,0.00961874914404803,GO:0006787,0.0170268574512904,GO:0010837,0.000160939038574232,GO:0051303,0.000250283841858558,GO:0042796,0.000877040864477352,GO:0030194,0.00146449005488935,GO:0007420,0.00601756441374597,GO:2000738,0.00154994048722966,GO:0006614,3.64650672140435e-05,GO:0050678,0.0156453450710386
GO:0044273,0.000302662149444607,GO:0000184,0.00995684326207369,GO:0052696,0.0218393074841169,GO:0045596,0.000291306621001794,GO:0010770,0.00026439132679189,GO:0006383,0.00116488335227999,GO:0043030,0.00179157553949047,GO:0045600,0.00650799261972305,GO:0045109,0.00212329795054857,GO:0006613,4.50620729282338e-05,GO:0048935,0.0157968622983064
GO:0061213,0.000331639540224543,GO:0019083,0.0101278625758582,GO:0007399,0.0250395850124656,GO:0043516,0.000439941299234665,GO:0030334,0.000311727060369625,GO:2000501,0.00122161222453237,GO:0002762,0.00296007920275242,GO:0001764,0.00683692698317571,GO:0019080,0.00218349974129447,GO:0045047,5.51497971576556e-05,GO:0030097,0.0173281106466689
GO:0048522,0.000369714696009047,GO:0071346,0.0106487665799004,GO:1903706,0.0266286776759158,GO:0072386,0.000527141062205181,GO:0033630,0.000316236375374066,GO:0036294,0.00153654460744378,GO:0032655,0.00440165995846702,GO:0071363,0.00921415241977325,GO:0000184,0.00233143684616565,GO:1903051,6.59681975537835e-05,GO:0098976,0.0184057713212007
GO:0001990,0.000405385132222242,GO:0090311,0.0107508728609496,GO:0052697,0.0266286776759158,GO:0060556,0.000735101387253076,GO:0003009,0.000688635095872795,GO:0043410,0.00190371132966558,GO:0048259,0.00522178009537626,GO:0051056,0.00939541198450779,GO:0019083,0.00240793332133091,GO:0019080,0.000100365257800348,GO:0006610,0.0184057713212007
GO:0043069,0.00045478204722121,GO:1904019,0.0120868859385031,GO:0043632,0.0290147415071519,GO:0010839,0.000735101387253076,GO:0040001,0.000688635095872795,GO:0043388,0.00229051892222075,GO:0045670,0.00550957062569654,GO:0006027,0.0130771328538266,GO:0061436,0.00278196206728492,GO:0000184,0.000109291765136585,GO:0007417,0.0198269181414204
GO:0043066,0.000634824417904659,GO:2001014,0.0120868859385031,GO:0035635,0.0290147415071519,GO:0003091,0.000837551277457632,GO:0140014,0.000818653015808334,GO:0048332,0.00257804420968715,GO:2000379,0.00610651237768068,GO:0006977,0.0158683004460034,GO:0033561,0.00278196206728492,GO:0019083,0.000113977359945486,GO:0010951,0.020448765207275
GO:0051146,0.000687203961950581,GO:0042989,0.0134211618656948,GO:0016055,0.0293072755062754,GO:0045599,0.000920168919373739,GO:0007080,0.000834340873712168,GO:0090399,0.00313495271554656,GO:0042108,0.00641557592818846,GO:0072431,0.0163562212518355,GO:0050982,0.00314274986297208,GO:2000058,0.000153758018895744,GO:0048227,0.0210078957630912
