cluster	gene
2	ENSMUSG00000032338
2	ENSMUSG00000032409
2	ENSMUSG00000032480
2	ENSMUSG00000032777
2	ENSMUSG00000032890
2	ENSMUSG00000032911
2	ENSMUSG00000033039
2	ENSMUSG00000033306
2	ENSMUSG00000033453
2	ENSMUSG00000034731
2	ENSMUSG00000034906
2	ENSMUSG00000034926
2	ENSMUSG00000035181
2	ENSMUSG00000035864
2	ENSMUSG00000036061
2	ENSMUSG00000036208
2	ENSMUSG00000036745
2	ENSMUSG00000036826
2	ENSMUSG00000036923
2	ENSMUSG00000037709
2	ENSMUSG00000037827
2	ENSMUSG00000037999
2	ENSMUSG00000038637
2	ENSMUSG00000038663
2	ENSMUSG00000039005
2	ENSMUSG00000039109
2	ENSMUSG00000039470
2	ENSMUSG00000039929
2	ENSMUSG00000040323
2	ENSMUSG00000040537
2	ENSMUSG00000040697
2	ENSMUSG00000040829
2	ENSMUSG00000041975
2	ENSMUSG00000042607
2	ENSMUSG00000042644
2	ENSMUSG00000042763
2	ENSMUSG00000043670
2	ENSMUSG00000045980
2	ENSMUSG00000046380
2	ENSMUSG00000046634
2	ENSMUSG00000046908
2	ENSMUSG00000049281
2	ENSMUSG00000049553
2	ENSMUSG00000050677
2	ENSMUSG00000050919
2	ENSMUSG00000051278
2	ENSMUSG00000051977
2	ENSMUSG00000056900
2	ENSMUSG00000058740
2	ENSMUSG00000058922
2	ENSMUSG00000060735
2	ENSMUSG00000061894
2	ENSMUSG00000063849
2	ENSMUSG00000066113
2	ENSMUSG00000066687
2	ENSMUSG00000067206
2	ENSMUSG00000067928
2	ENSMUSG00000068115
2	ENSMUSG00000069227
2	ENSMUSG00000070738
2	ENSMUSG00000071036
2	ENSMUSG00000071047
2	ENSMUSG00000073557
2	ENSMUSG00000074004
2	ENSMUSG00000074384
2	ENSMUSG00000078684
2	ENSMUSG00000078937
2	ENSMUSG00000080268
2	ENSMUSG00000080859
2	ENSMUSG00000082361
2	ENSMUSG00000085328
2	ENSMUSG00000090035
2	ENSMUSG00000091387
2	ENSMUSG00000091478
2	ENSMUSG00000092329
2	ENSMUSG00000098428
2	ENSMUSG00000098754
2	ENSMUSG00000103034
3	ENSMUSG00000000567
3	ENSMUSG00000001020
3	ENSMUSG00000001403
3	ENSMUSG00000003038
3	ENSMUSG00000003309
3	ENSMUSG00000003355
3	ENSMUSG00000003824
3	ENSMUSG00000004347
3	ENSMUSG00000005089
3	ENSMUSG00000005268
3	ENSMUSG00000006649
3	ENSMUSG00000008601
3	ENSMUSG00000008683
3	ENSMUSG00000009185
3	ENSMUSG00000009927
3	ENSMUSG00000014303
3	ENSMUSG00000015880
3	ENSMUSG00000016763
3	ENSMUSG00000019848
3	ENSMUSG00000019936
3	ENSMUSG00000020061
3	ENSMUSG00000020090
3	ENSMUSG00000020140
3	ENSMUSG00000020216
3	ENSMUSG00000020592
3	ENSMUSG00000020701
3	ENSMUSG00000021416
3	ENSMUSG00000021469
3	ENSMUSG00000021604
3	ENSMUSG00000021614
3	ENSMUSG00000022015
3	ENSMUSG00000022440
3	ENSMUSG00000022464
3	ENSMUSG00000022510
3	ENSMUSG00000023232
3	ENSMUSG00000023505
3	ENSMUSG00000024378
3	ENSMUSG00000024521
3	ENSMUSG00000024526
3	ENSMUSG00000024791
3	ENSMUSG00000025150
3	ENSMUSG00000025185
3	ENSMUSG00000025328
3	ENSMUSG00000025362
3	ENSMUSG00000025429
3	ENSMUSG00000025481
3	ENSMUSG00000025574
3	ENSMUSG00000025794
3	ENSMUSG00000025927
3	ENSMUSG00000026039
3	ENSMUSG00000026141
3	ENSMUSG00000026413
3	ENSMUSG00000026414
3	ENSMUSG00000026669
3	ENSMUSG00000026697
3	ENSMUSG00000026955
3	ENSMUSG00000026959
3	ENSMUSG00000027107
3	ENSMUSG00000027220
3	ENSMUSG00000027239
3	ENSMUSG00000027306
3	ENSMUSG00000027326
3	ENSMUSG00000027849
3	ENSMUSG00000027864
3	ENSMUSG00000027962
3	ENSMUSG00000028018
3	ENSMUSG00000028020
3	ENSMUSG00000028234
3	ENSMUSG00000028238
3	ENSMUSG00000028347
3	ENSMUSG00000028407
3	ENSMUSG00000028545
3	ENSMUSG00000028640
3	ENSMUSG00000028644
3	ENSMUSG00000028871
3	ENSMUSG00000028936
3	ENSMUSG00000029177
3	ENSMUSG00000029304
3	ENSMUSG00000029337
3	ENSMUSG00000029380
3	ENSMUSG00000029414
3	ENSMUSG00000029735
3	ENSMUSG00000030017
3	ENSMUSG00000030074
3	ENSMUSG00000030110
3	ENSMUSG00000030303
3	ENSMUSG00000030433
3	ENSMUSG00000030677
3	ENSMUSG00000030814
3	ENSMUSG00000030827
3	ENSMUSG00000031230
3	ENSMUSG00000031409
3	ENSMUSG00000031554
3	ENSMUSG00000032068
3	ENSMUSG00000032291
3	ENSMUSG00000033419
3	ENSMUSG00000033458
3	ENSMUSG00000034324
3	ENSMUSG00000034394
3	ENSMUSG00000034648
3	ENSMUSG00000034892
3	ENSMUSG00000035020
3	ENSMUSG00000035199
3	ENSMUSG00000035295
3	ENSMUSG00000035557
3	ENSMUSG00000036151
3	ENSMUSG00000036768
3	ENSMUSG00000037279
3	ENSMUSG00000037318
3	ENSMUSG00000037568
3	ENSMUSG00000037600
3	ENSMUSG00000037725
3	ENSMUSG00000037805
3	ENSMUSG00000037995
3	ENSMUSG00000038020
3	ENSMUSG00000038155
3	ENSMUSG00000038193
3	ENSMUSG00000038560
3	ENSMUSG00000039481
3	ENSMUSG00000039747
3	ENSMUSG00000039748
3	ENSMUSG00000039813
