cluster	gene
7	ENSMUSG00000030074
7	ENSMUSG00000031230
7	ENSMUSG00000032013
7	ENSMUSG00000033419
7	ENSMUSG00000037318
7	ENSMUSG00000039079
7	ENSMUSG00000041911
7	ENSMUSG00000042724
7	ENSMUSG00000046095
7	ENSMUSG00000047786
7	ENSMUSG00000048699
7	ENSMUSG00000050578
7	ENSMUSG00000055874
7	ENSMUSG00000058914
7	ENSMUSG00000063063
7	ENSMUSG00000083794
7	ENSMUSG00000098348
8	ENSMUSG00000078639
8	ENSMUSG00000087230
