logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000020889	-3.03087550477263	7.3047585702975	-30.2427735102443	8.0981177782131e-11	1.039636360367e-06	14.7000437411741
ENSMUSG00000002289	1.74714165230375	6.99328970007284	18.74145591503	7.32739742957136e-09	4.42985667579601e-05	11.042841343789
ENSMUSG00000022425	-1.49725920543868	7.05276710345855	-18.0596966933012	1.0351744841399e-08	4.42985667579601e-05	10.7520602840046
ENSMUSG00000003038	-1.33530839930724	8.16922126709561	-16.3585195053904	2.59535878089381e-08	7.28504102958432e-05	9.86729714872896
ENSMUSG00000032291	-3.39992092876952	3.41533640412111	-16.2018362303884	2.83729592988952e-08	7.28504102958432e-05	8.82320408429987
ENSMUSG00000030074	-2.12688159674645	5.34540389383126	-14.5519607793332	7.64053413980729e-08	0.000135194691372268	8.50043771762423
ENSMUSG00000041828	1.11063985811452	7.65592619464536	13.9118484282749	1.15421362736425e-07	0.000135194691372268	8.35645030010608
ENSMUSG00000046352	-2.65600190218524	3.51022172733345	-13.8008647890411	1.2419827606255e-07	0.000135194691372268	8.22025908396615
ENSMUSG00000068747	1.34975533962557	6.33325700909204	13.6240151567597	1.39740029046965e-07	0.000135194691372268	8.19654815589764
ENSMUSG00000034648	-1.51642402927518	6.16084730430338	-13.4065268708068	1.61856088408592e-07	0.000135194691372268	8.01456763420004
ENSMUSG00000025092	1.30402858179328	6.22136258221214	13.362553656705	1.66780175742953e-07	0.000135194691372268	8.01252580113074
ENSMUSG00000006342	1.28255358884117	6.60406476944767	13.3594996780007	1.67128224801542e-07	0.000135194691372268	8.01057859724096
ENSMUSG00000027993	1.24735053473337	6.18102377863295	13.2957297417964	1.74581353373623e-07	0.000135194691372268	7.97747874067171
ENSMUSG00000058914	-2.29940545000588	8.44983568964464	-13.2677605487705	1.77964914771164e-07	0.000135194691372268	7.94107661494589
ENSMUSG00000024900	1.37285198179928	6.62290778794605	13.22501582879	1.83276065839193e-07	0.000135194691372268	7.92521409946677
