logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000041577	1.53049795385742	10.1801174343301	19.3085818076317	5.54656328354116e-09	6.07877700412034e-05	11.1072044830165
ENSMUSG00000030862	1.63576420574596	8.50350588620292	18.2330675733126	9.46997508041804e-09	6.07877700412034e-05	10.4880869510723
ENSMUSG00000021702	1.4532383911902	12.0365736612312	16.847929366855	1.97466584497245e-08	8.45025337258544e-05	10.051778169069
ENSMUSG00000006369	2.0479912327571	7.50591772333387	16.2133579010466	2.81868402358302e-08	9.04656637368972e-05	9.36947968311358
ENSMUSG00000023885	1.29257616102553	9.94289475383703	14.6518326850664	7.17506980678075e-08	0.000184227092358903	8.79804912997258
ENSMUSG00000028989	1.84211798678254	9.80320657328427	13.8577831608839	1.19608671057797e-07	0.000255922686506665	8.29656329485037
ENSMUSG00000041559	1.51840630882397	12.5035583570073	12.9295552076375	2.25122610765697e-07	0.000412874868144289	7.72645833166805
ENSMUSG00000037405	1.19091731423963	7.99547481473777	12.131110735953	4.01133786682791e-07	0.000643719444179208	7.121916563112
ENSMUSG00000039084	1.49488008968925	10.2680909840519	11.6154897555832	5.93236674001192e-07	0.0008462191578697	6.76968316754848
ENSMUSG00000027966	1.30751557540847	6.05369550969162	10.8329266666662	1.10724459502857e-06	0.00139440125285238	6.07766055495851
ENSMUSG00000037138	1.39214440894134	5.75711326394448	10.7407297476257	1.19476661328682e-06	0.00139440125285238	5.95361728045191
ENSMUSG00000017897	1.14488008620255	5.87901858969508	10.017384739946	2.21448035373544e-06	0.00189529991875037	5.38675456010526
ENSMUSG00000024529	1.41439381336021	8.55686371220498	9.52406308801558	3.44798567952643e-06	0.00232925680851807	5.03385857916438
ENSMUSG00000058914	-1.31065546402816	8.44983568964464	-9.33145123442815	4.11996463701397e-06	0.00251867171476121	4.85371446222868
ENSMUSG00000047420	1.62290201921676	4.22366466951892	9.6957809014461	2.94922619996956e-06	0.00210345366417829	4.80956191374484
ENSMUSG00000041112	1.03893951954171	5.95637995441393	9.26528811698447	4.38287207152476e-06	0.00255760507519249	4.77084297841535
ENSMUSG00000031849	1.45076804914488	9.41608587702491	9.04477559366432	5.40060804120963e-06	0.00277332024132197	4.56654286469892
ENSMUSG00000027715	-2.08247434855214	4.03181798455742	-9.78732077071834	2.71607549275844e-06	0.00207186909040525	4.35283679940198
ENSMUSG00000026278	-1.15263567883455	5.12113743512261	-8.87538175439848	6.35813270999718e-06	0.00291520384753371	4.34122168206646
ENSMUSG00000022150	1.06337163973937	5.82817198746033	8.75115439072672	7.17811215238925e-06	0.00317767599353011	4.30214875400749
ENSMUSG00000009772	1.60010689564873	3.87066107800782	9.12300529317227	5.0126515446295e-06	0.00268135085541473	4.27473584763999
ENSMUSG00000094483	-1.26709638683447	7.09814794198261	-8.49811421529715	9.22967274348123e-06	0.0034850158435533	4.07583748057147
ENSMUSG00000044006	1.41393882161026	9.3081051457118	8.35539175268393	1.06635463162436e-05	0.00380273910022042	3.86015374710952
ENSMUSG00000032925	1.1655007197476	8.1034488895509	8.20694524220839	1.24172912920074e-05	0.00419508383175766	3.75149264917856
ENSMUSG00000023915	1.00738988015329	6.43475491183594	8.14783360557653	1.32012967369892e-05	0.0042369561877367	3.71911529747168
ENSMUSG00000020357	1.19459767230664	4.63528810472011	8.04218615728178	1.47404909961065e-05	0.00439840959287679	3.61244776142956
ENSMUSG00000020583	1.59048660448433	4.1394273534169	8.14974308009721	1.31751431590254e-05	0.0042369561877367	3.57607206394858
ENSMUSG00000064080	1.00443902148703	8.69126303623174	7.98251303723708	1.56956225799535e-05	0.00439840959287679	3.50359052109914
ENSMUSG00000028364	1.42769140950183	9.18228391898008	7.95378253637043	1.61793858289384e-05	0.00441938202706193	3.45566867742486
ENSMUSG00000029816	1.20194570852892	6.83043102550084	7.78339775278528	1.94043177128034e-05	0.00444843983566018	3.34479434130945
ENSMUSG00000026435	1.31388464090857	4.10887313648631	7.81157732507231	1.88258076512774e-05	0.00444843983566018	3.29360122266946
ENSMUSG00000054641	1.22573575347291	6.77410494249715	7.71986367424823	2.07810108334001e-05	0.00458454468021006	3.25284622469051
ENSMUSG00000022790	-1.90709708203745	2.29357159911201	-8.58818605350453	8.43397452361284e-06	0.0034850158435533	3.2166323127768
ENSMUSG00000024735	-2.32929839633949	5.79399967500998	-7.67562578113316	2.18023148066114e-05	0.00466496862478796	3.20360554825087
ENSMUSG00000000753	1.08845392865449	10.8729260861606	7.73149816610183	2.05211507576252e-05	0.00458454468021006	3.15899600183636
ENSMUSG00000052429	-1.05952709691233	6.38936102154603	-7.56499445192468	2.46039399033615e-05	0.00501373619808501	3.12247672762397
ENSMUSG00000025229	-1.69933875699806	3.38986624173293	-7.80975521540466	1.88626403201596e-05	0.00444843983566018	3.07349449612197
ENSMUSG00000061013	1.38192706938417	5.9322948545561	7.51577491693348	2.59744235871103e-05	0.00513014846171265	3.06383225100417
ENSMUSG00000037318	-1.3367940899767	4.0661000432164	-7.65132851976707	2.23864265788234e-05	0.00468157310402744	3.05992773708877
ENSMUSG00000021062	1.19218453242281	4.28462263552436	7.54517778059394	2.51460127668469e-05	0.0050441329984497	3.00569188740849
ENSMUSG00000039883	-1.20327401755143	6.20095952242563	-7.4519073991979	2.78781097614815e-05	0.00514449606102869	3.00156636204658
ENSMUSG00000034926	-1.66280285841116	3.7400831012308	-7.47093426650493	2.72955633270551e-05	0.00514449606102869	2.8869852978633
ENSMUSG00000024164	1.78343485344878	6.85509468482751	7.20216146956988	3.69197698459473e-05	0.00639343897884897	2.71975972192492
ENSMUSG00000036777	-1.5999487666637	3.90404871207802	-7.41066431758974	2.91878638661054e-05	0.00527765910300087	2.64345360751677
ENSMUSG00000039982	-1.15131301182598	6.46647539262224	-7.16891695277836	3.83466896223221e-05	0.00639343897884897	2.64210961908156
ENSMUSG00000071656	1.07719835275141	6.10302200870715	7.1294973788452	4.01168525595271e-05	0.00643775191449011	2.63500315987977
ENSMUSG00000055407	1.36849170740779	5.00965644641999	7.14428299172265	3.94426922539778e-05	0.00640968712856414	2.63487909508073
ENSMUSG00000042594	1.00059956114913	6.33347207303685	7.09401308341682	4.17864540195301e-05	0.00662289502102133	2.58668478404485
ENSMUSG00000040152	1.08250954054495	10.6552524143609	7.18354646584812	3.77115059184634e-05	0.00639343897884897	2.52822164499677
ENSMUSG00000022033	-2.53733407338167	3.22263586934352	-7.78653324683414	1.93389998284282e-05	0.00444843983566018	2.48106321958939
ENSMUSG00000079022	1.15702101351819	6.49952598961928	7.00164172455302	4.6497640641552e-05	0.00688058055408349	2.43833452319166
ENSMUSG00000026241	-1.19446920452739	4.70387540995199	-6.89364039164562	5.27505540980248e-05	0.00748015274709668	2.37450712233985
ENSMUSG00000054162	1.22629225295546	3.96602491840205	6.84467605467633	5.58814406901279e-05	0.00748015274709668	2.28236815876045
ENSMUSG00000032179	1.06815241489787	5.42814156896713	6.69401378374096	6.68501232158868e-05	0.00821891210450626	2.15250635297764
ENSMUSG00000039321	1.55082057988861	4.13330213068838	6.75612877056918	6.2068042047965e-05	0.00806139574802851	2.15035467859853
ENSMUSG00000087679	-1.28260634382371	4.38780539591374	-6.68294299636538	6.77436788582697e-05	0.00821891210450626	2.10782651631664
ENSMUSG00000020218	1.12571847451424	6.73946929522364	6.71070434411194	6.55270635553335e-05	0.00821891210450626	2.09626080812469
ENSMUSG00000028736	-1.47718212031768	4.60396662450972	-6.59083720316249	7.57004568565516e-05	0.00868923892591514	2.03764030703648
ENSMUSG00000020402	1.60211060836317	6.45883553278111	6.59166436965903	7.56246441627091e-05	0.00868923892591514	2.01794206978359
ENSMUSG00000028780	1.22913543538203	5.99612910052375	6.54385320702022	8.01450064364366e-05	0.00886984131578425	1.93747091938652
ENSMUSG00000022048	-1.07584996587868	5.37783690853389	-6.49070919542796	8.55159716705353e-05	0.00933704065964302	1.89685818377275
ENSMUSG00000027015	1.28777127850502	3.25935475595692	6.46567920269035	8.81796843478964e-05	0.00943375656381911	1.83296658416208
ENSMUSG00000021144	-2.22178788536265	5.09331306105714	-6.40291567305794	9.52627763798101e-05	0.0096297915209764	1.77494933509521
ENSMUSG00000032334	-1.01024718689539	7.28487109061655	-6.40580864575878	9.49230806032388e-05	0.0096297915209764	1.7365555925394
ENSMUSG00000062980	1.00447382298619	6.48251349075253	6.40915882858364	9.45313376688559e-05	0.0096297915209764	1.73479756570771
ENSMUSG00000031431	1.03886727463792	8.11762609218719	6.42291449503889	9.29411253866697e-05	0.00962240457833924	1.70586619062794
ENSMUSG00000048327	-1.60092954784514	3.14800203992269	-6.5787087620212	7.68215863640787e-05	0.00868923892591514	1.56759539929133
ENSMUSG00000026442	1.58354878756937	2.73861452869976	6.44006504402303	9.09989237802266e-05	0.00957577199582417	1.49913221984438
ENSMUSG00000017716	-2.11015670634316	3.01771679021737	-6.38742384983042	9.71043930220552e-05	0.00973926716888394	1.16165226306696
ENSMUSG00000039396	-2.18342592976751	1.89438388480819	-6.47107059500128	8.75984199333816e-05	0.00943375656381911	1.03970843432335
