cluster	gene
2	ENSMUSG00000026100
2	ENSMUSG00000026579
2	ENSMUSG00000026971
2	ENSMUSG00000027015
2	ENSMUSG00000027016
2	ENSMUSG00000027068
2	ENSMUSG00000027360
2	ENSMUSG00000027636
2	ENSMUSG00000027869
2	ENSMUSG00000027985
2	ENSMUSG00000028238
2	ENSMUSG00000028348
2	ENSMUSG00000028825
2	ENSMUSG00000028860
2	ENSMUSG00000028871
2	ENSMUSG00000028976
2	ENSMUSG00000029026
2	ENSMUSG00000029061
2	ENSMUSG00000029570
2	ENSMUSG00000030510
2	ENSMUSG00000030659
2	ENSMUSG00000030672
2	ENSMUSG00000030707
2	ENSMUSG00000030785
2	ENSMUSG00000031103
2	ENSMUSG00000031409
2	ENSMUSG00000031891
2	ENSMUSG00000031907
2	ENSMUSG00000032013
2	ENSMUSG00000032017
2	ENSMUSG00000032068
2	ENSMUSG00000032262
2	ENSMUSG00000032278
2	ENSMUSG00000032845
2	ENSMUSG00000034161
2	ENSMUSG00000034226
2	ENSMUSG00000034634
2	ENSMUSG00000034845
2	ENSMUSG00000035498
2	ENSMUSG00000036655
2	ENSMUSG00000037188
2	ENSMUSG00000037610
2	ENSMUSG00000037995
2	ENSMUSG00000038233
2	ENSMUSG00000038745
2	ENSMUSG00000039055
2	ENSMUSG00000039298
2	ENSMUSG00000039452
2	ENSMUSG00000039787
2	ENSMUSG00000039813
2	ENSMUSG00000040703
2	ENSMUSG00000041012
2	ENSMUSG00000041261
2	ENSMUSG00000041476
2	ENSMUSG00000041782
2	ENSMUSG00000041845
2	ENSMUSG00000042306
2	ENSMUSG00000042340
2	ENSMUSG00000042988
2	ENSMUSG00000043557
2	ENSMUSG00000045128
2	ENSMUSG00000045349
2	ENSMUSG00000045545
2	ENSMUSG00000045763
2	ENSMUSG00000047281
2	ENSMUSG00000049404
2	ENSMUSG00000049685
2	ENSMUSG00000050359
2	ENSMUSG00000050558
2	ENSMUSG00000052909
2	ENSMUSG00000054065
2	ENSMUSG00000054146
2	ENSMUSG00000054196
2	ENSMUSG00000054662
2	ENSMUSG00000054675
2	ENSMUSG00000055415
2	ENSMUSG00000056222
2	ENSMUSG00000056328
2	ENSMUSG00000056888
2	ENSMUSG00000057948
2	ENSMUSG00000058427
2	ENSMUSG00000059326
2	ENSMUSG00000060548
2	ENSMUSG00000060572
2	ENSMUSG00000060962
2	ENSMUSG00000061527
2	ENSMUSG00000061816
2	ENSMUSG00000063661
2	ENSMUSG00000063727
2	ENSMUSG00000066438
2	ENSMUSG00000066704
2	ENSMUSG00000067219
2	ENSMUSG00000067916
2	ENSMUSG00000068617
2	ENSMUSG00000071019
2	ENSMUSG00000071341
2	ENSMUSG00000075296
2	ENSMUSG00000075307
2	ENSMUSG00000079588
2	ENSMUSG00000089960
2	ENSMUSG00000090451
2	ENSMUSG00000090733
2	ENSMUSG00000092586
3	ENSMUSG00000003824
3	ENSMUSG00000005089
3	ENSMUSG00000008683
3	ENSMUSG00000009185
3	ENSMUSG00000014303
3	ENSMUSG00000015112
3	ENSMUSG00000015377
3	ENSMUSG00000017716
3	ENSMUSG00000019848
3	ENSMUSG00000019936
3	ENSMUSG00000020061
3	ENSMUSG00000020090
3	ENSMUSG00000020140
3	ENSMUSG00000020218
3	ENSMUSG00000020592
3	ENSMUSG00000020701
3	ENSMUSG00000020897
3	ENSMUSG00000020914
3	ENSMUSG00000020953
3	ENSMUSG00000021416
3	ENSMUSG00000022015
3	ENSMUSG00000022986
3	ENSMUSG00000023232
3	ENSMUSG00000023505
3	ENSMUSG00000024177
3	ENSMUSG00000024378
3	ENSMUSG00000024521
3	ENSMUSG00000025216
3	ENSMUSG00000025328
3	ENSMUSG00000025362
3	ENSMUSG00000025429
3	ENSMUSG00000025927
3	ENSMUSG00000025930
3	ENSMUSG00000026039
3	ENSMUSG00000026141
3	ENSMUSG00000026343
3	ENSMUSG00000026413
3	ENSMUSG00000026669
3	ENSMUSG00000026955
3	ENSMUSG00000026959
3	ENSMUSG00000027107
3	ENSMUSG00000027220
3	ENSMUSG00000027306
3	ENSMUSG00000027469
3	ENSMUSG00000027849
3	ENSMUSG00000027962
3	ENSMUSG00000028018
3	ENSMUSG00000028031
3	ENSMUSG00000028234
3	ENSMUSG00000028347
3	ENSMUSG00000028545
3	ENSMUSG00000028678
3	ENSMUSG00000028873
3	ENSMUSG00000028936
3	ENSMUSG00000029153
3	ENSMUSG00000029337
3	ENSMUSG00000029380
3	ENSMUSG00000029683
3	ENSMUSG00000029735
3	ENSMUSG00000030433
3	ENSMUSG00000030814
3	ENSMUSG00000030827
3	ENSMUSG00000030867
3	ENSMUSG00000031554
3	ENSMUSG00000031962
3	ENSMUSG00000032218
3	ENSMUSG00000032291
3	ENSMUSG00000033419
3	ENSMUSG00000033458
3	ENSMUSG00000034855
3	ENSMUSG00000036777
3	ENSMUSG00000037318
3	ENSMUSG00000037725
3	ENSMUSG00000038155
3	ENSMUSG00000038193
3	ENSMUSG00000038560
3	ENSMUSG00000039481
3	ENSMUSG00000039883
3	ENSMUSG00000040564
3	ENSMUSG00000041220
3	ENSMUSG00000041954
3	ENSMUSG00000042045
3	ENSMUSG00000043165
3	ENSMUSG00000043531
3	ENSMUSG00000044393
3	ENSMUSG00000044927
3	ENSMUSG00000045007
3	ENSMUSG00000045273
3	ENSMUSG00000045328
3	ENSMUSG00000046593
3	ENSMUSG00000047343
3	ENSMUSG00000047786
3	ENSMUSG00000047875
3	ENSMUSG00000048327
3	ENSMUSG00000048922
3	ENSMUSG00000049134
3	ENSMUSG00000049641
3	ENSMUSG00000049882
3	ENSMUSG00000051920
3	ENSMUSG00000052316
3	ENSMUSG00000052369
3	ENSMUSG00000058447
3	ENSMUSG00000058503
3	ENSMUSG00000059291
3	ENSMUSG00000060636
3	ENSMUSG00000060913
3	ENSMUSG00000062248
3	ENSMUSG00000063903
3	ENSMUSG00000068101
3	ENSMUSG00000068220
3	ENSMUSG00000068252
3	ENSMUSG00000070564
3	ENSMUSG00000073234
3	ENSMUSG00000079278
3	ENSMUSG00000079523
3	ENSMUSG00000079641
3	ENSMUSG00000094005
3	ENSMUSG00000095432
3	ENSMUSG00000095680
3	ENSMUSG00000096363
3	ENSMUSG00000097808
3	ENSMUSG00000102422
4	ENSMUSG00000001151
4	ENSMUSG00000002289
4	ENSMUSG00000005952
4	ENSMUSG00000006342
4	ENSMUSG00000011008
4	ENSMUSG00000018698
4	ENSMUSG00000019907
4	ENSMUSG00000019966
4	ENSMUSG00000020930
4	ENSMUSG00000022324
4	ENSMUSG00000022997
4	ENSMUSG00000024112
4	ENSMUSG00000024827
4	ENSMUSG00000028337
4	ENSMUSG00000028373
4	ENSMUSG00000029314
4	ENSMUSG00000030507
4	ENSMUSG00000031273
4	ENSMUSG00000031297
4	ENSMUSG00000032528
4	ENSMUSG00000032850
4	ENSMUSG00000033083
4	ENSMUSG00000033182
4	ENSMUSG00000033276
4	ENSMUSG00000034310
4	ENSMUSG00000037820
